Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1024046726.0,Rådyr,920,12989,7156830,325168,9,0.00020634127076234524,0.030951190614351785,1-2x høgare risiko enn høyrisikoyrke
1024045652.0,Rådyr,349,14238,7157803,298265,17,0.0009373065271826639,0.1405959790773996,>5x høgare risiko enn høgrisikoyrke
1024046621.0,Rådyr,300,8967,7092652,316522,3,0.00030553429546082973,0.04583014431912446,>2x høgare risiko enn høgrisikoyrke
1024045770.0,Rådyr,716,26246,7152198,343290,6,8.747465516630766e-05,0.01312119827494615,Sals- og serviceyrke
1024046122.0,Rådyr,3800,3178,7196499,322988,7,0.0001588062849175319,0.023820942737629785,1-2x høgare risiko enn høyrisikoyrke
1024046221.0,Rådyr,300,6115,7070385,209369,3,0.00044803369213364843,0.06720505382004727,>2x høgare risiko enn høgrisikoyrke
1024046664.0,Rådyr,500,6970,7078905,249706,4,0.0003144592283956683,0.04716888425935025,>2x høgare risiko enn høgrisikoyrke
1024045821.0,Rådyr,4500,5227,7154473,336100,3,3.494325651931969e-05,0.005241488477897954,Høgskuleyrke
1024045748.0,Elg,2040,11101,7082761,247830,4,4.839214321616071e-05,0.007258821482424107,Kontoryrke
1024045936.0,Rådyr,2000,4334,7151957,369249,3,9.482208216649493e-05,0.014223312324974239,Sals- og serviceyrke
1024045807.0,Rådyr,1600,11321,7061149,262595,6,9.07514583759361e-05,0.013612718756390415,Sals- og serviceyrke
1024046721.0,Elg,700,4822,7192044,328227,3,0.0002435023428983759,0.03652535143475639,1-2x høgare risiko enn høyrisikoyrke
1024046244.0,Rådyr,507,5116,7020775,297927,4,0.0004225018663491819,0.06337527995237728,>2x høgare risiko enn høgrisikoyrke
1024045735.0,Elg,1470,5062,7067503,265091,3,0.00011045589899117314,0.016568384848675972,"Renhaldarar, hjelpearbeidarar mv."
1022805395.0,Hjort,2080,5925,7011541,161533,8,0.00017784654510855308,0.026676981766282963,1-2x høgare risiko enn høyrisikoyrke
1024046320.0,Rådyr,550,35965,7109343,272994,5,6.925232934538024e-05,0.010387849401807037,Kontoryrke
1022805355.0,Rådyr,9660,5211,7008803,260602,3,1.632789469121853e-05,0.0024491842036827795,lågare risiko enn dei fleste yrke
1024046627.0,Rådyr,1520,4701,7099668,266182,5,0.00019170935267113243,0.028756402900669865,1-2x høgare risiko enn høyrisikoyrke
1022805904.0,Elg,8480,3885,7066900,307949,3,2.494833200441885e-05,0.0037422498006628273,Leiarar
1024046938.0,Rådyr,717,5811,7193130,337099,4,0.00026302504026987344,0.039453756040481014,1-2x høgare risiko enn høyrisikoyrke
1024046292.0,Rådyr,2310,6616,7126532,316415,3,5.378001435711263e-05,0.008067002153566894,Kontoryrke
