Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046385.0,Elg,1700.0,3122.634,2,0.00041467965996267884
1022805388.0,Rådyr,2600.0,31163.243,14,0.0004146550958149454
1024045600.0,Rådyr,500.0,1917.307,1,0.0004137360364087712
1022805477.0,Hjort,1700.0,3173.719,2,0.0004103405826836274
1022805706.0,Hjort,2450.0,21968.428,10,0.0004095339503644852
1024046371.0,Rådyr,600.0,1846.388,1,0.0004088307440719542
1024046277.0,Hjort,1500.0,13300.965,6,0.00040537801499898656
1022805690.0,Elg,1880.0,587.995,1,0.0004051863857374392
1024046633.0,Elg,1070.0,1399.419,1,0.0004050222762251924
1024046436.0,Elg,1400.0,10981.896,5,0.00040381198513971895
1024046552.0,Rådyr,2890.0,2071.0,2,0.00040314452731304173
1024046660.0,Rådyr,499.0,4470.143,2,0.0004024954719259408
1024046343.0,Rådyr,2870.0,2193.834,2,0.00039494470774091627
1015073397.0,Rådyr,1000.0,1532.862,1,0.00039478878799842083
1024046607.0,Elg,300.0,2238.943,1,0.00039385584875935406
1024047091.0,Rådyr,500.0,2039.161,1,0.00039385584875935406
1024045834.0,Rådyr,2300.0,7883.065,4,0.0003928115486595306
1015073700.0,Rådyr,4600.0,501.822,2,0.0003920031360250882
1024046824.0,Rådyr,300.0,4816.382,2,0.00039093041438623924
1024045888.0,Rådyr,2200.0,2925.52,2,0.0003901677721420211
1024045512.0,Hjort,400.0,2163.906,1,0.000390015600624025
1024046017.0,Rådyr,300.0,4835.904,2,0.0003894080996884735
1024046272.0,Rådyr,2400.0,188.674,1,0.0003862495171881035
1013122291.0,Rådyr,50.0,2552.963,1,0.000384172109104879
1024045805.0,Hjort,600.0,9827.572,4,0.0003835826620636747
1024046392.0,Elg,4130.0,3702.023,3,0.00038304392236976505
1024045527.0,Rådyr,1970.0,8510.785,4,0.00038164297299875965
1024046692.0,Hjort,280.0,2344.115,1,0.00038109756097560977
1024046641.0,Rådyr,1000.0,1623.894,1,0.00038109756097560977
1024045895.0,Rådyr,1490.0,19621.303,8,0.0003789493628913836
1024045832.0,Rådyr,4190.0,6386.881,4,0.0003781790677885979
1024045828.0,Rådyr,1420.0,11842.549,5,0.0003769886149438287
1015073631.0,Rådyr,2300.0,355.133,1,0.0003766478342749529
1024046317.0,Rådyr,1840.0,6163.402,3,0.000374859427714607
1024047002.0,Rådyr,450.0,2228.014,1,0.0003734129947722181
1024045626.0,Rådyr,750.0,1928.816,1,0.0003732736095558044
1024045753.0,Rådyr,1500.0,1204.187,1,0.0003698224852071006
1024047116.0,Rådyr,1100.0,1609.772,1,0.00036900369003690036
1024046488.0,Elg,3200.0,4965.117,3,0.00036742192284139623
1024046488.0,Rådyr,3200.0,4965.117,3,0.00036742192284139623
1024046630.0,Rådyr,790.0,1932.545,1,0.0003672420124862284
1024047014.0,Rådyr,500.0,7700.219,3,0.00036585365853658537
1024045810.0,Hjort,100.0,19038.941,7,0.0003657453367469565
1024046284.0,Rådyr,1700.0,1041.264,1,0.00036483035388544326
1024047005.0,Rådyr,657.0,2085.799,1,0.0003645643456069996
1024045612.0,Rådyr,1540.0,6736.525,3,0.0003624501631025734
1024046946.0,Rådyr,900.0,1871.979,1,0.00036075036075036075
1024046285.0,Rådyr,2060.0,3499.419,2,0.0003597769382982551
1024045789.0,Rådyr,1570.0,1222.231,1,0.00035816618911174784
1015073804.0,Rådyr,600.0,2195.405,1,0.00035778175313059033
1024045562.0,Rådyr,1400.0,1418.317,1,0.00035486160397445
1018751054.0,Rådyr,300.0,2521.799,1,0.00035435861091424523
1024046246.0,Rådyr,3000.0,2651.112,2,0.00035391966023712616
1024046321.0,Elg,1100.0,4553.03,2,0.0003537944454272068
1024046321.0,Rådyr,1100.0,4553.03,2,0.0003537944454272068
1024046663.0,Rådyr,600.0,5060.314,2,0.00035335689045936394
1024045560.0,Elg,1000.0,1838.698,1,0.0003522367030644593
1024046048.0,Rådyr,2400.0,6121.565,3,0.00035203003989673785
1024045979.0,Elg,2100.0,753.451,1,0.0003505082369435682
1024046982.0,Rådyr,5440.0,3136.61,3,0.0003497726477789437
1024045806.0,Rådyr,950.0,4776.373,2,0.00034928396786587494
1024046318.0,Rådyr,100.0,2766.057,1,0.0003489183531053733
1022805804.0,Rådyr,8600.0,2883.381,4,0.00034834102586432116
1024046705.0,Elg,676.0,5095.242,2,0.00034656038814763474
1024535183.0,Rådyr,300.0,14164.998,5,0.0003456619426201175
1024046349.0,Hjort,1940.0,6778.796,3,0.0003440761555224223
1024046511.0,Rådyr,160.0,5655.171,2,0.00034393809114359415
1024045724.0,Rådyr,1020.0,1897.297,1,0.00034281796366129587
1022805439.0,Rådyr,140.0,2783.728,1,0.0003419972640218878
1024046690.0,Elg,200.0,2729.957,1,0.00034129692832764505
1024045491.0,Rådyr,1300.0,10467.241,4,0.0003399337129259794
1024046168.0,Rådyr,200.0,5692.316,2,0.00033944331296673454
1024047066.0,Rådyr,2310.0,3619.35,2,0.00033732501264968796
1024047081.0,Rådyr,280.0,2687.498,1,0.0003370407819346141
1024045569.0,Rådyr,1210.0,7705.235,3,0.0003365114974761638
1024045557.0,Rådyr,200.0,2783.133,1,0.00033523298692591353
1024046308.0,Rådyr,400.0,2585.55,1,0.0003348961821835231
